epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8334,1.80059,2.85468,1.72113,0.49113,0.21117,0.19741,0.08052,2.09217,3.1014,2.05123,0.0703,0.0003,0.0003
2,25.969,1.71157,2.01152,1.64753,0.40368,0.30283,0.3206,0.14969,1.91683,2.59095,1.92526,0.0396031,0.000603137,0.000603137
3,36.0738,1.70576,1.90146,1.65165,0.46348,0.33332,0.32805,0.15644,2.01026,3.20031,2.1005,0.0088993,0.0008993,0.0008993
4,46.0631,1.67395,1.86622,1.64891,0.47148,0.35964,0.34944,0.15603,1.90219,2.45496,1.97758,0.00096625,0.00096625,0.00096625
5,56.0076,1.6723,1.77452,1.65453,0.38502,0.32099,0.29358,0.13162,1.93217,3.00401,2.05073,0.000955,0.000955,0.000955
6,65.9212,1.60251,1.67125,1.59996,0.47848,0.44991,0.46515,0.24672,1.79203,2.14829,1.86049,0.00094375,0.00094375,0.00094375
7,76.095,1.60588,1.6413,1.58857,0.62281,0.48341,0.51626,0.25065,1.77072,2.30399,1.86303,0.0009325,0.0009325,0.0009325
8,86.2121,1.54611,1.55039,1.55913,0.57366,0.51363,0.5306,0.26366,1.7301,2.05318,1.73921,0.00092125,0.00092125,0.00092125
9,96.5136,1.53663,1.50064,1.50886,0.58066,0.52913,0.56346,0.28797,1.73958,1.72777,1.69783,0.00091,0.00091,0.00091
10,107.07,1.51872,1.4504,1.50331,0.66349,0.43673,0.50938,0.28325,1.77024,2.00616,1.74007,0.00089875,0.00089875,0.00089875
11,117.459,1.53824,1.44297,1.52905,0.70096,0.52251,0.59593,0.32621,1.71328,1.75826,1.72154,0.0008875,0.0008875,0.0008875
12,128.047,1.45331,1.33216,1.45947,0.69655,0.57156,0.60956,0.33663,1.67376,1.75088,1.67692,0.00087625,0.00087625,0.00087625
13,138.841,1.47994,1.38193,1.50052,0.72083,0.53489,0.63088,0.34662,1.70189,1.5504,1.72497,0.000865,0.000865,0.000865
